Country,Continent,Alcoholic_Beverages,Animal_fats,Animal_Products,Aquatic_Products_Other,Cereals_Excluding_Beer,Eggs,Fish_Seafood,Fruits_Excluding_Wine,Meat,Milk_Excluding_Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy_Roots,Stimulants,Sugar_And_Sweeteners,Sugar_Crops,Treenuts,Vegetable_Oils,Vegetables,Vegetal_Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Grains,Vegetables_Sum,Fruits,Protein,Grains_25,Vegetables_Sum_25,Fruits_25,Protein_25,Total_25,Max_of_4,Min_of_4,Healthy_Or_Not,Deaths_rate,Recovered_rate,Active_rate,Total_rate
Congo,Africa,4.9612,0.0122,6.1258,0.0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0.0,0.0016,0.67,2.552,43.8709,8.4,40.3,0.068407359,0.001709719,0.011652109,0.055045531,5381000.0,31.5188,47.0929,8.9627,12.425399999999998,26.265666666666664,29.433062500000002,22.40675,15.531749999999997,93.63722916666667,v,p,1.0,2.499320285117278,17.03341448980657,80.46726522507616,100.00000000000001
Costa Rica,North America,1.6982,0.1529,18.677,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0.0,0.0397,1.4363,2.9837,31.3238,25.7,4.8,0.020869565,0.000197628,0.013221344,0.007450593,5060000.0,15.6572,35.7438,11.2185,37.3806,13.047666666666666,22.339875,28.04625,46.72575,110.15954166666666,p,g,0.0,0.946967509864245,63.35227399325285,35.7007584968829,100.0
Cote d'Ivoire,Africa,1.4487,0.0132,2.9144,0.0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0.0,0.5443,0.8656,2.8098,47.0806,9.0,19.0,0.011103708,0.000129341,0.005624363,0.005350004,25514000.0,37.0755,50.756,6.322800000000001,5.8459,30.89625,31.722499999999997,15.807000000000002,7.307375,85.733125,v,p,0.0,1.1648451130018909,50.65301609156149,48.18213879543662,100.0
Croatia,Europe,4.9846,0.2296,17.311,0.0005,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0.0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0.0,0.0761,0.3808,12.5188,32.6838,27.1,2.5,0.055388409,0.002540074,0.051097411,0.001750925,4055000.0,11.4006,45.5834,8.394,34.62199999999999,9.5005,28.489624999999997,20.985,43.27749999999999,102.252625,p,g,0.0,4.585930605083818,92.25289536661,3.161175833738066,100.00000180543189
Cuba,North America,2.0589,0.1202,10.0096,0.0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0.0,0.0006,0.4535,8.374,39.9895,26.7,2.5,0.018239386,0.000740278,0.016134499,0.001364609,11212000.0,19.9915,48.817,11.0936,20.098000000000006,16.659583333333334,30.510625,27.734,25.12250000000001,100.02670833333335,v,g,1.0,4.058678291034578,88.45966086797002,7.481660840995414,100.00000000000001
Cyprus,Asia,3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0.0,0.1781,1.1937,7.3888,33.8191,22.6,5.6,0.07552,0.00136,0.0632,0.01096,1250000.0,14.121900000000002,42.4016,9.642700000000001,33.833600000000004,11.76825,26.501,24.106750000000005,42.29200000000001,104.668,p,g,0.0,1.8008474576271187,83.6864406779661,14.512711864406777,100.0
Czechia,Europe,9.8498,0.8945,17.8065,0.0006,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0.0,0.0477,0.9854,4.5289,32.1944,28.5,2.5,0.086860356,0.002999063,0.061462043,0.02239925,10670000.0,13.323,37.7087,13.246,35.72220000000001,11.1025,23.5679375,33.115,44.652750000000005,112.4381875,p,g,0.0,3.452740856830014,70.75960291942621,25.787656223743777,100.00000000000001
Denmark,Europe,4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0.0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0.0,0.1138,0.0915,5.2431,26.7812,21.3,2.5,0.203969754,0.009864238,0.18147448,0.012631036,5819000.0,13.4602,32.1158,7.9963999999999995,46.427699999999994,11.216833333333334,20.072375,19.990999999999996,58.034625,109.31483333333333,p,g,0.0,4.8361278113812896,88.97126973051111,6.192602458107588,99.99999999999999
Djibouti,Africa,0.3778,0.0579,5.5215,0.0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0.0,0.0406,1.6153,9.7637,44.4582,12.2,18.9,0.344353183,0.002464066,0.154414784,0.187474333,974000.0,28.285300000000003,55.837199999999996,3.6513,12.226099999999999,23.571083333333338,34.89825,9.12825,15.282625,82.88020833333333,v,f,0.0,0.7155635904198975,44.84197957885582,54.44245683072428,100.0
Dominica,North America,0.941,0.0319,8.9011,0.0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0.0,0.0035,0.3797,4.6371,41.0989,28.2,6.2,0.022222222,0.0,0.022222222,0.0,72000.0,15.164200000000001,46.115700000000004,20.2438,18.4763,12.636833333333334,28.822312500000002,50.6095,23.095374999999997,115.16402083333332,f,g,0.0,0.0,100.0,0.0,100.0
